price,bedroom,bathroom,sq_ft,aircorn,pcode,tsp_en,tsp_mm,floor,overhead_tank,parquet,tiles,price_sqft
500,0,1,625,0,MMR013037,Ahlone,အလုံ,3,False,False,False,80000
500,2,1,625,2,MMR013037,Ahlone,အလုံ,,False,True,True,80000
500,3,2,1000,0,MMR013042,Mayangone,မရမ်းကုန်း,4,True,True,True,50000
500,0,0,1120,0,MMR013038,Kyeemyindaing,ကြည့်မြင်တိုင်,6,True,False,False,44642.8571428571
500,0,1,816,0,MMR013011,South Okkalapa,တောင်ဥက္ကလာပ,1,True,False,True,61274.5098039216
500,0,1,969,0,MMR013009,Thingangyun,သင်္ဃန်းကျွန်း,3,False,False,True,51599.5872033024
500,0,1,918,0,MMR013018,Dagon Myothit (South),ဒဂုံမြို့သစ်တောင်ပိုင်း,1,True,False,True,54466.2309368192
500,0,1,972,0,MMR013001,Insein,အင်းစိန်,2,True,False,False,51440.329218107
500,0,1,960,2,MMR013039,Sanchaung,စမ်းချောင်း,3,False,True,False,52083.3333333333
500,1,1,625,1,MMR013041,Kamaryut,ကမာရွတ်,1,False,False,False,80000
500,2,1,999,0,MMR013011,South Okkalapa,တောင်ဥက္ကလာပ,5,False,False,False,50050.0500500501
500,2,1,900,0,MMR013015,Tamwe,တာမွေ,6,False,False,True,55555.5555555556
500,0,1,625,1,MMR013009,Thingangyun,သင်္ဃန်းကျွန်း,0,False,False,True,80000
500,2,1,900,1,MMR013015,Tamwe,တာမွေ,3,False,True,False,55555.5555555556
500,2,1,750,0,MMR013015,Tamwe,တာမွေ,,False,True,False,66666.6666666667
500,2,1,900,1,MMR013015,Tamwe,တာမွေ,3,,,,55555.5555555556
500,2,1,825,2,MMR013015,Tamwe,တာမွေ,4,False,True,True,60606.0606060606
500,2,1,625,2,MMR013040,Hlaing,လှိုင်,2,False,True,True,80000
500,0,1,972,0,MMR013011,South Okkalapa,တောင်ဥက္ကလာပ,2,True,False,False,51440.329218107
500,0,1,972,0,MMR013011,South Okkalapa,တောင်ဥက္ကလာပ,2,False,False,False,51440.329218107
500,1,1,750,0,MMR013015,Tamwe,တာမွေ,1,False,True,False,66666.6666666667
500,0,1,972,0,MMR013011,South Okkalapa,တောင်ဥက္ကလာပ,1,,,,51440.329218107
500,1,1,974,0,MMR013011,South Okkalapa,တောင်ဥက္ကလာပ,1,False,True,False,51334.7022587269
500,1,1,972,0,MMR013011,South Okkalapa,တောင်ဥက္ကလာပ,5,False,True,False,51440.329218107
500,0,1,988,0,MMR013011,South Okkalapa,တောင်ဥက္ကလာပ,1,False,False,False,50607.2874493927
500,0,1,1026,0,MMR013011,South Okkalapa,တောင်ဥက္ကလာပ,1,False,False,False,48732.9434697856
500,1,1,900,0,MMR013039,Sanchaung,စမ်းချောင်း,5,,,,55555.5555555556
500,2,1,999,0,MMR013011,South Okkalapa,တောင်ဥက္ကလာပ,4,,,,50050.0500500501
500,0,1,972,0,MMR013011,South Okkalapa,တောင်ဥက္ကလာပ,1,,,,51440.329218107
500,2,1,750,0,MMR013042,Mayangone,မရမ်းကုန်း,3,False,True,True,66666.6666666667
500,2,1,700,0,MMR013041,Kamaryut,ကမာရွတ်,4,,,,71428.5714285714
500,1,1,950,0,MMR013037,Ahlone,အလုံ,7,,,,52631.5789473684
500,2,1,625,2,MMR013016,Pazundaung,ပုဇွန်တောင်,4,False,False,False,80000
500,0,1,1026,0,MMR013011,South Okkalapa,တောင်ဥက္ကလာပ,1,False,False,False,48732.9434697856
500,2,1,650,0,MMR013019,Dagon Myothit (North),ဒဂုံမြို့သစ်မြောက်ပိုင်း,5,,,,76923.0769230769
500,0,1,650,0,MMR013039,Sanchaung,စမ်းချောင်း,1,,,,76923.0769230769
500,0,1,715,0,MMR013015,Tamwe,တာမွေ,1,,,,69930.0699300699
500,0,1,1250,0,MMR013013,Thaketa,သာကေတ,1,False,False,True,40000
500,1,1,1500,4,MMR013016,Pazundaung,ပုဇွန်တောင်,8,False,True,True,33333.3333333333
500,1,1,800,0,MMR013044,Bahan,ဗဟန်း,3,,,,62500
500,2,1,972,0,MMR013009,Thingangyun,သင်္ဃန်းကျွန်း,,False,True,True,51440.329218107
500,2,1,900,1,MMR013015,Tamwe,တာမွေ,3,False,False,True,55555.5555555556
500,2,1,972,1,MMR013011,South Okkalapa,တောင်ဥက္ကလာပ,2,False,True,True,51440.329218107
500,1,1,750,0,MMR013017,Botahtaung,ဗိုလ်တထောင်,6,False,False,False,66666.6666666667
500,0,1,750,0,MMR013017,Botahtaung,ဗိုလ်တထောင်,5,False,False,False,66666.6666666667
500,0,1,972,0,MMR013011,South Okkalapa,တောင်ဥက္ကလာပ,,,,,51440.329218107
500,1,1,625,0,MMR013040,Hlaing,လှိုင်,1,False,False,False,80000
500,0,1,972,0,MMR013013,Thaketa,သာကေတ,1,,,,51440.329218107
